variant,scenario,seed,detected,observed,exact,hamming_loss,false_alarm_events
B0,S8,2,1,authorization,1,0.0,0
B0,S8,3,1,authorization,1,0.0,0
B0,S8,4,1,authorization,1,0.0,0
B0,S8,5,1,authorization,1,0.0,0
B0,S8,6,1,authorization,1,0.0,0
B0,S8,7,1,authorization,1,0.0,0
B0,S8,8,1,authorization,1,0.0,0
B0,S8,9,1,authorization,1,0.0,0
B0,S8,10,1,authorization,1,0.0,0
B0,S8,11,1,authorization,1,0.0,0
B0,S8,12,1,authorization,1,0.0,0
B0,S8,13,1,authorization,1,0.0,0
B0,S8,14,1,authorization,1,0.0,0
B0,S8,15,1,authorization,1,0.0,0
B0,S8,16,1,authorization,1,0.0,0
B0,S8,17,1,authorization,1,0.0,0
B0,S8,18,1,authorization,1,0.0,0
B0,S8,19,1,authorization,1,0.0,0
B0,S9,0,0,,0,0.16666666666666666,0
B0,S9,1,0,,0,0.16666666666666666,0
B0,S9,2,0,,0,0.16666666666666666,0
B0,S9,3,0,,0,0.16666666666666666,0
B0,S9,4,0,,0,0.16666666666666666,0
B0,S9,5,0,,0,0.16666666666666666,0
B0,S9,6,0,,0,0.16666666666666666,0
B0,S9,7,0,,0,0.16666666666666666,0
B0,S9,8,0,,0,0.16666666666666666,0
B0,S9,9,0,,0,0.16666666666666666,0
B0,S9,10,0,,0,0.16666666666666666,0
B0,S9,11,0,,0,0.16666666666666666,0
B0,S9,12,0,,0,0.16666666666666666,0
B0,S9,13,0,,0,0.16666666666666666,0
B0,S9,14,0,,0,0.16666666666666666,0
B0,S9,15,0,,0,0.16666666666666666,0
B0,S9,16,0,,0,0.16666666666666666,0
B0,S9,17,0,,0,0.16666666666666666,0
B0,S9,18,0,,0,0.16666666666666666,0
B0,S9,19,0,,0,0.16666666666666666,0
B0,S10,0,1,policy|authorization,1,0.0,0
B0,S10,1,1,policy|authorization,1,0.0,0
B0,S10,2,1,policy|authorization,1,0.0,0
B0,S10,3,1,policy|authorization,1,0.0,0
B0,S10,4,1,policy|authorization,1,0.0,0
B0,S10,5,1,policy|authorization,1,0.0,0
B0,S10,6,1,policy|authorization,1,0.0,0
B0,S10,7,1,policy|authorization,1,0.0,0
B0,S10,8,1,policy|authorization,1,0.0,0
B0,S10,9,1,policy|authorization,1,0.0,0
B0,S10,10,1,policy|authorization,1,0.0,0
B0,S10,11,1,policy|authorization,1,0.0,0
B0,S10,12,1,policy|authorization,1,0.0,0
B0,S10,13,1,policy|authorization,1,0.0,0
B0,S10,14,1,policy|authorization,1,0.0,0
B0,S10,15,1,policy|authorization,1,0.0,0
B0,S10,16,1,policy|authorization,1,0.0,0
B0,S10,17,1,policy|authorization,1,0.0,0
B0,S10,18,1,policy|authorization,1,0.0,0
B0,S10,19,1,policy|authorization,1,0.0,0
B0,S11,0,1,authorization|environment,1,0.0,0
B0,S11,1,1,authorization|environment,1,0.0,0
B0,S11,2,1,authorization|environment,1,0.0,0
B0,S11,3,1,authorization|environment,1,0.0,0
B0,S11,4,1,authorization|environment,1,0.0,0
B0,S11,5,1,authorization|environment,1,0.0,0
B0,S11,6,1,authorization|environment,1,0.0,0
B0,S11,7,1,authorization|environment,1,0.0,0
B0,S11,8,1,authorization|environment,1,0.0,0
B0,S11,9,1,authorization|environment,1,0.0,0
B0,S11,10,1,authorization|environment,1,0.0,0
B0,S11,11,1,authorization|environment,1,0.0,0
B0,S11,12,1,authorization|environment,1,0.0,0
B0,S11,13,1,authorization|environment,1,0.0,0
B0,S11,14,1,authorization|environment,1,0.0,0
B0,S11,15,1,authorization|environment,1,0.0,0
B0,S11,16,1,authorization|environment,1,0.0,0
B0,S11,17,1,authorization|environment,1,0.0,0
B0,S11,18,1,authorization|environment,1,0.0,0
B0,S11,19,1,authorization|environment,1,0.0,0
B0,S12,0,1,authorization,0,0.5,0
B0,S12,1,1,authorization,0,0.5,0
B0,S12,2,1,authorization,0,0.5,0
B0,S12,3,1,authorization,0,0.5,0
B0,S12,4,1,authorization,0,0.5,0
B0,S12,5,1,authorization,0,0.5,0
B0,S12,6,1,authorization,0,0.5,0
B0,S12,7,1,authorization,0,0.5,0
B0,S12,8,1,authorization,0,0.5,0
B0,S12,9,1,authorization,0,0.5,0
B0,S12,10,1,authorization,0,0.5,0
B0,S12,11,1,authorization,0,0.5,0
B0,S12,12,1,authorization,0,0.5,0
B0,S12,13,1,authorization,0,0.5,0
B0,S12,14,1,authorization,0,0.5,0
B0,S12,15,1,authorization,0,0.5,0
B0,S12,16,1,authorization,0,0.5,0
B0,S12,17,1,authorization,0,0.5,0
B0,S12,18,1,authorization,0,0.5,0
B0,S12,19,1,authorization,0,0.5,0
B1,S1,0,1,configuration,1,0.0,0
B1,S1,1,1,configuration,1,0.0,0
B1,S1,2,1,configuration,1,0.0,0
B1,S1,3,1,configuration,1,0.0,0
B1,S1,4,1,configuration,1,0.0,0
B1,S1,5,1,configuration,1,0.0,0
B1,S1,6,1,configuration,1,0.0,0
B1,S1,7,1,configuration,1,0.0,0
B1,S1,8,1,configuration,1,0.0,0
B1,S1,9,1,configuration,1,0.0,0
B1,S1,10,1,configuration,1,0.0,0
B1,S1,11,1,configuration,1,0.0,0
B1,S1,12,1,configuration,1,0.0,0
B1,S1,13,1,configuration,1,0.0,0
B1,S1,14,1,configuration,1,0.0,0
B1,S1,15,1,configuration,1,0.0,0
B1,S1,16,1,configuration,1,0.0,0
B1,S1,17,1,configuration,1,0.0,0
B1,S1,18,1,configuration,1,0.0,0
B1,S1,19,1,configuration,1,0.0,0
B1,S2,0,1,authorization,1,0.0,0
B1,S2,1,1,authorization,1,0.0,0
B1,S2,2,1,authorization,1,0.0,0
B1,S2,3,1,authorization,1,0.0,0
B1,S2,4,1,authorization,1,0.0,0
B1,S2,5,1,authorization,1,0.0,0
B1,S2,6,1,authorization,1,0.0,0
B1,S2,7,1,authorization,1,0.0,0
B1,S2,8,1,authorization,1,0.0,0
B1,S2,9,1,authorization,1,0.0,0
B1,S2,10,1,authorization,1,0.0,0
B1,S2,11,1,authorization,1,0.0,0
B1,S2,12,1,authorization,1,0.0,0
B1,S2,13,1,authorization,1,0.0,0
B1,S2,14,1,authorization,1,0.0,0
B1,S2,15,1,authorization,1,0.0,0
B1,S2,16,1,authorization,1,0.0,0
B1,S2,17,1,authorization,1,0.0,0
B1,S2,18,1,authorization,1,0.0,0
B1,S2,19,1,authorization,1,0.0,0
B1,S3,0,1,policy,1,0.0,0
B1,S3,1,1,policy,1,0.0,0
B1,S3,2,1,policy,1,0.0,0
B1,S3,3,1,policy,1,0.0,0
B1,S3,4,1,policy,1,0.0,0
B1,S3,5,1,policy,1,0.0,0
B1,S3,6,1,policy,1,0.0,0
B1,S3,7,1,policy,1,0.0,0
B1,S3,8,1,policy,1,0.0,0
B1,S3,9,1,policy,1,0.0,0
B1,S3,10,1,policy,1,0.0,0
B1,S3,11,1,policy,1,0.0,0
B1,S3,12,1,policy,1,0.0,0
B1,S3,13,1,policy,1,0.0,0
B1,S3,14,1,policy,1,0.0,0
B1,S3,15,1,policy,1,0.0,0
B1,S3,16,1,policy,1,0.0,0
B1,S3,17,1,policy,1,0.0,0
B1,S3,18,1,policy,1,0.0,0
B1,S3,19,1,policy,1,0.0,0
B1,S4,0,1,authorization,1,0.0,0
B1,S4,1,1,authorization,1,0.0,0
B1,S4,2,1,authorization,1,0.0,0
B1,S4,3,1,authorization,1,0.0,0
B1,S4,4,1,authorization,1,0.0,0
B1,S4,5,1,authorization,1,0.0,0
B1,S4,6,1,authorization,1,0.0,0
B1,S4,7,1,authorization,1,0.0,0
B1,S4,8,1,authorization,1,0.0,0
B1,S4,9,1,authorization,1,0.0,0
B1,S4,10,1,authorization,1,0.0,0
B1,S4,11,1,authorization,1,0.0,0
B1,S4,12,1,authorization,1,0.0,0
B1,S4,13,1,authorization,1,0.0,0
B1,S4,14,1,authorization,1,0.0,0
B1,S4,15,1,authorization,1,0.0,0
B1,S4,16,1,authorization,1,0.0,0
B1,S4,17,1,authorization,1,0.0,0
B1,S4,18,1,authorization,1,0.0,0
B1,S4,19,1,authorization,1,0.0,0
B1,S5,0,1,environment,1,0.0,0
B1,S5,1,1,environment,1,0.0,0
B1,S5,2,1,environment,1,0.0,0
B1,S5,3,1,environment,1,0.0,0
B1,S5,4,1,environment,1,0.0,0
B1,S5,5,1,environment,1,0.0,0
B1,S5,6,1,environment,1,0.0,0
B1,S5,7,1,environment,1,0.0,0
B1,S5,8,1,environment,1,0.0,0
B1,S5,9,1,environment,1,0.0,0
B1,S5,10,1,environment,1,0.0,0
B1,S5,11,1,environment,1,0.0,0
B1,S5,12,1,environment,1,0.0,0
B1,S5,13,1,environment,1,0.0,0
B1,S5,14,1,environment,1,0.0,0
B1,S5,15,1,environment,1,0.0,0
B1,S5,16,1,environment,1,0.0,0
B1,S5,17,1,environment,1,0.0,0
B1,S5,18,1,environment,1,0.0,0
B1,S5,19,1,environment,1,0.0,0
B1,S6,0,1,authorization,0,0.16666666666666666,0
B1,S6,1,1,authorization,0,0.16666666666666666,0
B1,S6,2,1,authorization,0,0.16666666666666666,0
B1,S6,3,1,authorization,0,0.16666666666666666,0
B1,S6,4,1,authorization,0,0.16666666666666666,0
