repeat,scenario,cadence_seconds,phase_seconds,evaluator_tier,evaluation_scope,expected_class_set,observed_verdict,observed_class,observed_class_set,first_observed_class_set,undecidable_components,detection_rate_hit,first_priority_correct,classification_correct,hamming_loss,polls,injection_started_utc,onset_observed_utc,actuation_seconds,ddl_seconds,end_to_end_seconds,tte_seconds,exact_set_complete_seconds,ddl_right_censored,exact_set_completion_right_censored,censoring_seconds,evidence_semantics
2,S11,10.0,0.4677666056721719,T4,T4-sequential-snapshot-class-set,authorization|environment,drift,authorization,authorization|environment,authorization|environment,,True,True,True,0.0,1,2026-08-08T07:53:58.601813+00:00,2026-08-08T07:54:00.059043+00:00,1.4572037076577544,0.6844627922400832,2.1416664998978376,0.6845037504099309,0.6844627922400832,False,False,180.0,provisional sequential-snapshot class-set record
2,S12,0.5,0.022393714491650007,T2,T4-sequential-snapshot-class-set,intent|evidence,drift,intent,intent|evidence,intent|evidence,authorization,True,True,True,0.0,1,2026-08-08T07:53:35.570240+00:00,2026-08-08T07:53:41.462085+00:00,5.891716375015676,0.34348416700959206,6.235200542025268,0.3435311671346426,0.34348416700959206,False,False,180.0,provisional sequential-snapshot class-set record
2,S12,2.0,0.7304806413144822,T2,T4-sequential-snapshot-class-set,intent|evidence,drift,intent,intent|evidence,intent|evidence,authorization,True,True,True,0.0,1,2026-08-08T07:53:35.570240+00:00,2026-08-08T07:53:41.462085+00:00,5.891716375015676,0.944541874807328,6.836258249823004,0.9445882081054151,0.944541874807328,False,False,180.0,provisional sequential-snapshot class-set record
2,S12,10.0,8.28257683225731,T2,T4-sequential-snapshot-class-set,intent|evidence,drift,intent,intent|evidence,intent|evidence,authorization,True,True,True,0.0,1,2026-08-08T07:53:35.570240+00:00,2026-08-08T07:53:41.462085+00:00,5.891716375015676,8.579337249975652,14.471053624991328,8.579383625183254,8.579337249975652,False,False,180.0,provisional sequential-snapshot class-set record
3,S10,0.5,0.45685410726381903,T2,T4-sequential-snapshot-class-set,policy|authorization,drift,policy,policy|authorization,policy|authorization,,True,True,True,0.0,1,2026-08-08T07:54:56.138472+00:00,2026-08-08T07:54:59.005655+00:00,2.867113416083157,1.0933362087234855,3.9604496248066425,1.0933840838260949,1.0933362087234855,False,False,180.0,provisional sequential-snapshot class-set record
3,S10,2.0,0.2738205414560404,T2,T4-sequential-snapshot-class-set,policy|authorization,drift,policy,policy|authorization,policy|authorization,,True,True,True,0.0,1,2026-08-08T07:54:56.138472+00:00,2026-08-08T07:54:59.005655+00:00,2.867113416083157,0.626409042160958,3.493522458244115,0.6264934591017663,0.626409042160958,False,False,180.0,provisional sequential-snapshot class-set record
3,S10,10.0,0.3223685341114735,T2,T4-sequential-snapshot-class-set,policy|authorization,drift,policy,policy|authorization,policy|authorization,,True,True,True,0.0,1,2026-08-08T07:54:56.138472+00:00,2026-08-08T07:54:59.005655+00:00,2.867113416083157,0.8668555840849876,3.7339690001681447,0.8669112920761108,0.8668555840849876,False,False,180.0,provisional sequential-snapshot class-set record
3,S11,0.5,0.44745584832199436,T4,T4-sequential-snapshot-class-set,authorization|environment,drift,authorization,authorization|environment,authorization|environment,,True,True,True,0.0,1,2026-08-08T07:55:07.616110+00:00,2026-08-08T07:55:09.138600+00:00,1.5224602092057467,0.6980017079040408,2.2204619171097875,0.6980380406603217,0.6980017079040408,False,False,180.0,provisional sequential-snapshot class-set record
3,S11,2.0,1.6609773033788349,T4,T4-sequential-snapshot-class-set,authorization|environment,drift,authorization,authorization|environment,authorization|environment,,True,True,True,0.0,1,2026-08-08T07:55:07.616110+00:00,2026-08-08T07:55:09.138600+00:00,1.5224602092057467,1.8885178747586906,3.4109780839644372,1.8885570000857115,1.8885178747586906,False,False,180.0,provisional sequential-snapshot class-set record
3,S11,10.0,2.15242845933983,T4,T4-sequential-snapshot-class-set,authorization|environment,drift,authorization,authorization|environment,authorization|environment,,True,True,True,0.0,1,2026-08-08T07:55:07.616110+00:00,2026-08-08T07:55:09.138600+00:00,1.5224602092057467,2.38568720780313,3.908147417008877,2.385723415762186,2.38568720780313,False,False,180.0,provisional sequential-snapshot class-set record
3,S12,0.5,0.30374773434313823,T2,T4-sequential-snapshot-class-set,intent|evidence,drift,intent,intent|evidence,intent|evidence,authorization,True,True,True,0.0,1,2026-08-08T07:54:35.945953+00:00,2026-08-08T07:54:41.886445+00:00,5.940370291937143,0.5155412079766393,6.455911499913782,0.515587333124131,0.5155412079766393,False,False,180.0,provisional sequential-snapshot class-set record
3,S12,2.0,0.39366944162170925,T2,T4-sequential-snapshot-class-set,intent|evidence,drift,intent,intent|evidence,intent|evidence,authorization,True,True,True,0.0,1,2026-08-08T07:54:35.945953+00:00,2026-08-08T07:54:41.886445+00:00,5.940370291937143,0.6946618747897446,6.635032166726887,0.6947081671096385,0.6946618747897446,False,False,180.0,provisional sequential-snapshot class-set record
3,S12,10.0,4.74232162271102,T2,T4-sequential-snapshot-class-set,intent|evidence,drift,intent,intent|evidence,intent|evidence,authorization,True,True,True,0.0,1,2026-08-08T07:54:35.945953+00:00,2026-08-08T07:54:41.886445+00:00,5.940370291937143,4.973423957824707,10.91379424976185,4.973477832973003,4.973423957824707,False,False,180.0,provisional sequential-snapshot class-set record
4,S10,0.5,0.3890208095425205,T2,T4-sequential-snapshot-class-set,policy|authorization,drift,policy,policy|authorization,authorization,,True,True,True,0.0,15,2026-08-08T07:56:07.112982+00:00,2026-08-08T07:56:10.008892+00:00,2.895800417289138,0.6639015828259289,3.5597020001150668,0.6639553750865161,7.614803750067949,False,False,180.0,provisional sequential-snapshot class-set record
