repeat,scenario,cadence_seconds,phase_seconds,evaluator_tier,evaluation_scope,expected_class_set,observed_verdict,observed_class,observed_class_set,undecidable_components,detection_rate_hit,first_priority_correct,classification_correct,hamming_loss,polls,injection_started_utc,onset_observed_utc,actuation_seconds,ddl_seconds,end_to_end_seconds,tte_seconds,evidence_semantics
1,S8,0.5,0.21302949611416988,T3,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:52:03.237582+00:00,2026-08-07T23:52:03.308527+00:00,0.07099154079332948,0.3946411251090467,0.4656326659023762,0.3948718341998756,minimal synchronous verdict bundle
1,S8,2.0,0.9820283163884014,T3,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:52:03.237582+00:00,2026-08-07T23:52:03.308527+00:00,0.07099154079332948,1.2059487500227988,1.2769402908161283,1.206000791862607,minimal synchronous verdict bundle
1,S8,10.0,9.933044669409805,T3,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:52:03.237582+00:00,2026-08-07T23:52:03.308527+00:00,0.07099154079332948,10.255282958969474,10.326274499762803,10.255395583808422,minimal synchronous verdict bundle
1,S9,0.5,0.47392228697532623,T2,T4-full-vector,evidence,undecidable,evidence,evidence,authorization|intent,True,True,True,0.0,1,2026-08-07T23:53:24.436407+00:00,2026-08-07T23:53:24.450229+00:00,0.013829332776367664,0.613131667021662,0.6269609997980297,0.6131840418092906,minimal synchronous verdict bundle
1,S9,2.0,0.09547870160846084,T2,T4-full-vector,evidence,undecidable,evidence,evidence,authorization|intent,True,True,True,0.0,1,2026-08-07T23:53:24.436407+00:00,2026-08-07T23:53:24.450229+00:00,0.013829332776367664,0.2274691672064364,0.24129849998280406,0.22752824984490871,minimal synchronous verdict bundle
1,S9,10.0,2.2109295815830543,T2,T4-full-vector,evidence,undecidable,evidence,evidence,authorization|intent,True,True,True,0.0,1,2026-08-07T23:53:24.436407+00:00,2026-08-07T23:53:24.450229+00:00,0.013829332776367664,2.388106584083289,2.4019359168596566,2.388155125081539,minimal synchronous verdict bundle
2,S1,0.5,0.49144999197384265,T0n,T4-full-vector,configuration,drift,configuration,configuration,,True,True,True,0.0,1,2026-08-07T23:55:00.279590+00:00,2026-08-07T23:55:00.341795+00:00,0.06220274977385998,0.6546232081018388,0.7168259578756988,0.6546893329359591,minimal synchronous verdict bundle
2,S1,2.0,1.220944396155839,T0n,T4-full-vector,configuration,drift,configuration,configuration,,True,True,True,0.0,1,2026-08-07T23:55:00.279590+00:00,2026-08-07T23:55:00.341795+00:00,0.06220274977385998,1.4545333748683333,1.5167361246421933,1.4545748331584036,minimal synchronous verdict bundle
2,S1,10.0,1.7935555630598754,T0n,T4-full-vector,configuration,drift,configuration,configuration,,True,True,True,0.0,1,2026-08-07T23:55:00.279590+00:00,2026-08-07T23:55:00.341795+00:00,0.06220274977385998,2.0577112082391977,2.1199139580130577,2.057773208245635,minimal synchronous verdict bundle
2,S2,0.5,0.1641872339888008,T2,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:55:21.354664+00:00,2026-08-07T23:55:24.005258+00:00,2.6505208336748183,0.41815550019964576,3.068676333874464,0.4182133753784001,minimal synchronous verdict bundle
2,S2,2.0,0.32152712460667354,T2,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:55:21.354664+00:00,2026-08-07T23:55:24.005258+00:00,2.6505208336748183,0.5879840003326535,3.238504834007472,0.5880418331362307,minimal synchronous verdict bundle
