sample_order,benchmark,n,repetition,affected_units,inner_iterations,elapsed_ns,per_operation_ns,milliseconds,units_per_second,exact_vectors,expected_vectors,modeled_external_calls,modeled_naive_external_calls
777,fanout_total,250,23,250,20,26398500,1319925.0,1.319925,189404.70102467944,250,250,1,1500
778,sweep,10,26,10,500,29990833,59981.666,0.059981665999999996,166717.61001103238,10,10,6,60
779,fanout_total,500,16,500,10,25708500,2570850.0,2.57085,194488.20429040978,500,500,1,3000
780,fanout_total,10,25,10,500,24744708,49489.416,0.049489415999999994,202063.4068504668,10,10,1,60
781,fanout_subset,1000,13,100,50,26891500,537830.0,0.53783,185932.35780822937,100,100,1,600
782,sweep,1000,7,1000,5,29627375,5925475.0,5.925475,168762.84179749302,1000,1000,6,6000
783,fanout_total,1,27,1,2000,10204166,5102.083,0.0051020829999999994,195998.3794853984,1,1,1,6
784,fanout_subset,100,29,10,500,25546792,51093.584,0.051093584000000004,195719.2903124588,10,10,1,60
785,fanout_subset,25,13,3,1667,24429583,14654.818836232753,0.014654818836232753,204710.82130218923,3,3,1,18
786,fanout_total,250,5,250,20,25211000,1260550.0,1.26055,198326.12748403475,250,250,1,1500
787,fanout_subset,1000,15,100,50,27233792,544675.84,0.54467584,183595.43907803952,100,100,1,600
788,fanout_total,100,11,100,50,25163291,503265.82,0.50326582,198702.14909488588,100,100,1,600
789,fanout_subset,500,26,50,100,25863334,258633.34,0.25863334,193323.87696033315,50,50,1,300
790,fanout_subset,100,22,10,500,25525375,51050.75,0.05105075,195883.50807774617,10,10,1,60
791,fanout_subset,50,24,5,1000,25037917,25037.917,0.025037917,199697.12336693183,5,5,1,30
792,sweep,1,8,1,2000,13549208,6774.604,0.006774604,147610.10385256464,1,1,6,6
793,fanout_total,1000,2,1000,5,27625334,5525066.8,5.525066799999999,180993.28681419743,1000,1000,1,6000
794,sweep,50,5,50,100,28584458,285844.58,0.28584458,174920.23112699916,50,50,6,300
795,fanout_total,25,19,25,200,25523917,127619.585,0.127619585,195894.6975105741,25,25,1,150
796,fanout_total,250,14,250,20,26138625,1306931.25,1.30693125,191287.79727319247,250,250,1,1500
797,fanout_subset,500,28,50,100,26393875,263938.75,0.26393875,189437.89041965228,50,50,1,300
798,fanout_total,100,5,100,50,26827375,536547.5,0.5365475,186376.78863474343,100,100,1,600
799,fanout_subset,1,15,1,2000,10666708,5333.354,0.005333354,187499.2734403154,1,1,1,6
800,fanout_total,1000,33,1000,5,32303292,6460658.4,6.460658400000001,154782.98620462583,1000,1000,1,6000
801,fanout_total,250,11,250,20,27230167,1361508.35,1.36150835,183619.8801131113,250,250,1,1500
802,fanout_subset,1000,17,100,50,26900625,538012.5,0.5380125,185869.28742361933,100,100,1,600
803,fanout_subset,250,28,25,200,25884125,129420.625,0.129420625,193168.59271850993,25,25,1,150
804,fanout_total,1,15,1,2000,10386208,5193.104,0.0051931040000000005,192563.06055106924,1,1,1,6
805,sweep,50,32,50,100,29031792,290317.92,0.29031792,172224.987007347,50,50,6,300
806,fanout_total,500,24,500,10,26745458,2674545.8,2.6745457999999998,186947.63050982342,500,500,1,3000
807,fanout_total,25,7,25,200,25960667,129803.335,0.12980333500000002,192599.05764362682,25,25,1,150
808,fanout_total,50,35,50,100,26172042,261720.42,0.26172042,191043.55709042496,50,50,1,300
809,sweep,100,23,100,50,29277458,585549.16,0.58554916,170779.85390671552,100,100,6,600
810,sweep,1000,30,1000,5,32192417,6438483.4,6.4384834,155316.07955997836,1000,1000,6,6000
811,sweep,250,24,250,20,29347917,1467395.85,1.4673958500000002,170369.84260245794,250,250,6,1500
812,sweep,1,23,1,2000,13301084,6650.542,0.006650542000000001,150363.68464404857,1,1,6,6
813,sweep,500,21,500,10,29160417,2916041.7,2.9160417,171465.31203583267,500,500,6,3000
814,fanout_total,50,28,50,100,25064041,250640.41,0.25064041,199488.98104659183,50,50,1,300
815,fanout_subset,50,8,5,1000,24299208,24299.208,0.024299208,205768.02338578278,5,5,1,30
816,sweep,25,10,25,200,27731750,138658.75,0.13865875,180298.75503709645,25,25,6,150
817,fanout_total,50,12,50,100,24735167,247351.67,0.24735167000000002,202141.3479844304,50,50,1,300
818,fanout_total,1000,37,1000,5,26924250,5384850.0,5.38485,185706.19423010855,1000,1000,1,6000
819,fanout_total,1,38,1,2000,10127166,5063.583,0.005063583,197488.6162624371,1,1,1,6
820,fanout_subset,50,37,5,1000,25398583,25398.583,0.025398583,196861.37608542966,5,5,1,30
821,fanout_total,500,5,500,10,26472708,2647270.8,2.6472708,188873.76387787756,500,500,1,3000
822,fanout_total,10,28,10,500,25130875,50261.75,0.05026175,198958.45250115645,10,10,1,60
823,sweep,1,2,1,2000,13350042,6675.021,0.006675021,149812.26276291866,1,1,6,6
824,sweep,500,17,500,10,33834167,3383416.7,3.3834167,147779.60988370128,500,500,6,3000
825,fanout_total,10,6,10,500,25100041,50200.082,0.050200082,199202.86185986706,10,10,1,60
826,fanout_total,25,1,25,200,24658250,123291.25,0.12329125,202771.89176036415,25,25,1,150
827,fanout_subset,250,30,25,200,25635000,128175.0,0.128175,195045.83577140627,25,25,1,150
