sample_order,benchmark,n,repetition,affected_units,inner_iterations,elapsed_ns,per_operation_ns,milliseconds,units_per_second,exact_vectors,expected_vectors,modeled_external_calls,modeled_naive_external_calls
947,sweep,500,9,500,10,29105750,2910575.0,2.910575,171787.3616038068,500,500,6,3000
948,fanout_subset,10,22,1,2000,10320833,5160.4165,0.0051604165,193782.8080349716,1,1,1,6
949,fanout_total,50,32,50,100,25060250,250602.5,0.2506025,199519.15882722638,50,50,1,300
950,fanout_subset,25,11,3,1667,24731042,14835.658068386323,0.014835658068386322,202215.499047715,3,3,1,18
951,sweep,10,2,10,500,27667833,55335.666,0.055335666,180715.27321998798,10,10,6,60
952,sweep,500,6,500,10,29455250,2945525.0,2.945525,169749.02606496296,500,500,6,3000
953,fanout_total,50,27,50,100,24632958,246329.58,0.24632958,202980.08870879412,50,50,1,300
954,fanout_subset,500,29,50,100,25539583,255395.83,0.25539583,195774.53555134396,50,50,1,300
955,fanout_total,50,34,50,100,25234209,252342.09,0.25234209,198143.7183150857,50,50,1,300
956,fanout_total,250,15,250,20,25916708,1295835.4,1.2958353999999999,192925.73732744146,250,250,1,1500
957,sweep,1,35,1,2000,14193375,7096.6875,0.0070966875,140910.81226276344,1,1,6,6
958,fanout_total,50,2,50,100,25234375,252343.75,0.25234375,198142.4148606811,50,50,1,300
959,sweep,1,24,1,2000,13524834,6762.417,0.006762417000000001,147876.12180674454,1,1,6,6
960,fanout_total,25,28,25,200,26011041,130055.205,0.130055205,192226.06277080567,25,25,1,150
